取引No,取引日,借方勘定科目,借方補助科目,借方部門,借方取引先,借方税区分,借方インボイス,借方金額(円),借方税額,貸方勘定科目,貸方補助科目,貸方部門,貸方取引先,貸方税区分,貸方インボイス,貸方金額(円),貸方税額,摘要,仕訳メモ,タグ,MF仕訳タイプ,決算整理仕訳
199,2025/06/28,支払手数料,,,,課税仕入 10%,,29400,2672,,,,,,,0,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
199,2025/06/28,販売促進費,,,,課税仕入 10%,,13000,1181,,,,,,,0,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
201,2025/06/28,普通預金,三井住友BK,,,対象外,,1120000,0,売掛金,,,,対象外,,1120000,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
201,2025/06/28,支払手数料,,,,課税仕入 10%,,43900,3990,,,,,,,0,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
201,2025/06/28,広告宣伝費,,,,課税仕入 10%,,11500,1045,,,,,,,0,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
202,2025/06/28,未払費用,,,,対象外,,180000,0,普通預金,三井住友BK,,,対象外,,360000,0,ｹﾝﾎﾟｷﾖｳｶｲ 社保,,,振替伝票,No
202,2025/06/28,預り金,社会保険,,,対象外,,180000,0,,,,,,,0,0,ｹﾝﾎﾟｷﾖｳｶｲ 社保,,,振替伝票,No
206,2025/06/28,売掛金,,,,対象外,,597200,0,売上高,,,,課税売上 10%,,774000,70363,ﾗｸﾃﾝ(ｶ 売上,,,振替伝票,No
207,2025/06/28,売掛金,,,,対象外,,890100,0,売上高,,,,課税売上 10%,,611800,55618,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 売上,,,振替伝票,No
250,2025/06/28,支払手数料,,,,課税仕入 10%,,200,18,普通預金,三井住友BK,,,対象外,,200,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
343,2025/07/01,支払手数料,,,,課税仕入 10%,,400,36,普通預金,三井住友BK,,,対象外,,400,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
331,2025/07/02,荷造運賃,,,,課税仕入 10%,,5300,481,現金,,,,対象外,,5300,0,佐川急便 着払い,,,簡単入力,No
344,2025/07/02,支払手数料,,,,課税仕入 10%,,400,36,普通預金,三井住友BK,,,対象外,,400,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
351,2025/07/02,車両費,,,,課税仕入 10%,,7500,681,未払金,ｱﾒﾘｶﾝEX,,,対象外,,7500,0,ENEOS ﾃｽﾄSS,,,簡単入力,No
303,2025/07/03,仕入高,,,,課税仕入 10%,,22100,2009,未払金,ｱﾒﾘｶﾝEX,,,対象外,,22100,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
356,2025/07/03,会議費,,,,課税仕入 10%,,900,81,現金,,,,対象外,,900,0,ファミリーマート ﾃｽﾄ駅前店,,,簡単入力,No
319,2025/07/04,通信費,,,,課税仕入 10%,,16200,1472,未払金,VISA,,,対象外,,16200,0,NTTﾄﾞｺﾓ,,,簡単入力,No
327,2025/07/04,荷造運賃,,,,課税仕入 10%,,14700,1336,未払金,ｱﾒﾘｶﾝEX,,,対象外,,14700,0,ﾔﾏﾄｳﾝﾕ ﾊｯｿｳ,,,簡単入力,No
348,2025/07/04,支払手数料,,,,課税仕入 10%,,400,36,普通預金,三井住友BK,,,対象外,,400,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
362,2025/07/04,荷造運賃,,,,課税仕入 10%,,200,18,現金,,,,対象外,,200,0,ダイソー ﾃｽﾄ店 梱包資材,,,簡単入力,No
374,2025/07/04,現金,,,,対象外,,98600,0,普通預金,三井住友BK,,,対象外,,173300,0,ATM 引出し,,,振替伝票,No
308,2025/07/05,仕入高,,,,課税仕入 10%,,57400,5218,未払金,VISA,,,対象外,,57400,0,ﾒﾙｶﾘ 商品仕入,,,簡単入力,No
312,2025/07/05,仕入高,,,,課税仕入 10%,,196300,17845,未払金,ｱﾒﾘｶﾝEX,,,対象外,,196300,0,ヤマダデンキ ﾃﾗｵﾃﾝ,,,簡単入力,No
315,2025/07/05,仕入高,,,,課税仕入 10%,,47500,4318,未払金,VISA,,,対象外,,47500,0,ﾋﾞﾂｸｶﾒﾗ ﾅﾝﾊﾞﾃﾝ,,,簡単入力,No
335,2025/07/05,会議費,,,,課税仕入 10%,,2300,209,現金,,,,対象外,,2300,0,STARBUCKS #12345,,,簡単入力,No
347,2025/07/05,支払手数料,,,,課税仕入 10%,,400,36,普通預金,三井住友BK,,,対象外,,400,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
358,2025/07/05,会議費,,,,課税仕入 10%,,700,63,現金,,,,対象外,,700,0,ファミリーマート ﾃｽﾄ駅前店,,,簡単入力,No
301,2025/07/06,仕入高,,,,課税仕入 10%,,108800,9890,未払金,ｱﾒﾘｶﾝEX,,,対象外,,108800,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
311,2025/07/06,仕入高,,,,課税仕入 10%,,170300,15481,未払金,ｱﾒﾘｶﾝEX,,,対象外,,170300,0,ヤマダデンキ ﾃﾗｵﾃﾝ,,,簡単入力,No
366,2025/07/06,通信費,,,,課税仕入 10%,,200,18,現金,,,,対象外,,200,0,日本郵便 ﾃｽﾄ郵便局 切手,,,簡単入力,No
302,2025/07/07,仕入高,,,,課税仕入 10%,,29800,2709,未払金,ｱﾒﾘｶﾝEX,,,対象外,,29800,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
313,2025/07/07,仕入高,,,,課税仕入 10%,,444900,40445,普通預金,三井住友BK,,,対象外,,444900,0,ﾌﾘｺﾐ ﾔﾏﾀﾞﾃﾞﾝｷ,,,振替伝票,No
324,2025/07/07,荷造運賃,,,,課税仕入 10%,,4600,418,未払金,ｱﾒﾘｶﾝEX,,,対象外,,4600,0,ﾔﾏﾄｳﾝﾕ ﾊｯｿｳ,,,簡単入力,No
345,2025/07/07,支払手数料,,,,課税仕入 10%,,200,18,普通預金,三井住友BK,,,対象外,,200,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
355,2025/07/07,消耗品費,,,,課税仕入 10%,,700,63,未払金,VISA,,,対象外,,700,0,ｾﾌﾞﾝ-ｲﾚﾌﾞﾝ ﾃｽﾄﾃﾝ,,,簡単入力,No
361,2025/07/08,荷造運賃,,,,課税仕入 10%,,400,36,現金,,,,対象外,,400,0,ダイソー ﾃｽﾄ店 梱包資材,,,簡単入力,No
346,2025/07/09,支払手数料,,,,課税仕入 10%,,400,36,普通預金,三井住友BK,,,対象外,,400,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
349,2025/07/09,新聞図書費,,,,課税仕入 10%,,3700,336,未払金,ｱﾒﾘｶﾝEX,,,対象外,,3700,0,AMAZON.CO.JP 書籍,,,簡単入力,No
365,2025/07/09,旅費交通費,,,,課税仕入 10%,,1200,109,現金,,,,対象外,,1200,0,タイムズ ﾃｽﾄ駅前,,,簡単入力,No
305,2025/07/10,仕入高,,,,課税仕入 10%,,62700,5700,未払金,ｱﾒﾘｶﾝEX,,,対象外,,62700,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
352,2025/07/10,車両費,,,,課税仕入 10%,,6300,572,未払金,ｱﾒﾘｶﾝEX,,,対象外,,6300,0,ENEOS ﾃｽﾄSS,,,簡単入力,No
376,2025/07/10,預り金,源泉所得税,,,対象外,,45000,0,普通預金,日本信金,,,対象外,,45000,0,ｾﾞｲﾑｼﾖ ｹﾞﾝｾﾝ 納付,,,振替伝票,No
377,2025/07/10,預り金,住民税,,,対象外,,30000,0,普通預金,日本信金,,,対象外,,30000,0,ｼﾞﾕｳﾐﾝｾﾞｲ 納付,,,振替伝票,No
322,2025/07/11,荷造運賃,,,,課税仕入 10%,,3400,309,未払金,ｱﾒﾘｶﾝEX,,,対象外,,3400,0,ﾔﾏﾄｳﾝﾕ ﾊｯｿｳ,,,簡単入力,No
326,2025/07/11,荷造運賃,,,,課税仕入 10%,,5400,490,未払金,ｱﾒﾘｶﾝEX,,,対象外,,5400,0,ﾔﾏﾄｳﾝﾕ ﾊｯｿｳ,,,簡単入力,No
328,2025/07/11,荷造運賃,,,,課税仕入 10%,,6700,609,現金,,,,対象外,,6700,0,佐川急便 着払い,,,簡単入力,No
329,2025/07/11,荷造運賃,,,,課税仕入 10%,,6100,554,現金,,,,対象外,,6100,0,佐川急便 着払い,,,簡単入力,No
299,2025/07/12,仕入高,,,,課税仕入 10%,,56000,5090,未払金,ｱﾒﾘｶﾝEX,,,対象外,,56000,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
325,2025/07/12,荷造運賃,,,,課税仕入 10%,,7000,636,未払金,ｱﾒﾘｶﾝEX,,,対象外,,7000,0,ﾔﾏﾄｳﾝﾕ ﾊｯｿｳ,,,簡単入力,No
339,2025/07/12,旅費交通費,,,,課税仕入 10%,,600,54,現金,,,,対象外,,600,0,JR西日本 交通費,,,簡単入力,No
370,2025/07/12,消耗品費,,,,課税仕入 10%,,10000,909,役員借入金,,,,対象外,,10000,0,役員立替 ﾃｽﾄﾀﾛｳ,,,簡単入力,No
314,2025/07/13,仕入高,,,,課税仕入 10%,,237200,21563,普通預金,三井住友BK,,,対象外,,237200,0,ﾌﾘｺﾐ ﾔﾏﾀﾞﾃﾞﾝｷ,,,振替伝票,No
320,2025/07/13,通信費,,,,課税仕入 10%,,3300,300,未払金,VISA,,,対象外,,3300,0,ｻｸﾗｲﾝﾀ-ﾈﾂﾄ,,,簡単入力,No
350,2025/07/13,新聞図書費,,,,課税仕入 10%,,2100,190,未払金,ｱﾒﾘｶﾝEX,,,対象外,,2100,0,AMAZON.CO.JP 書籍,,,簡単入力,No
306,2025/07/14,仕入高,,,,課税仕入 10%,,81700,7427,未払金,ｱﾒﾘｶﾝEX,,,対象外,,81700,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
334,2025/07/14,会議費,,,,課税仕入 10%,,2400,218,現金,,,,対象外,,2400,0,STARBUCKS #12345,,,簡単入力,No
353,2025/07/14,車両費,,,,課税仕入 10%,,5400,490,未払金,VISA,,,対象外,,5400,0,ｲﾃﾞﾐﾂ ﾃｽﾄSS,,,簡単入力,No
289,2025/07/15,普通預金,三井住友BK,,,対象外,,423900,0,売掛金,,,,対象外,,423900,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
289,2025/07/15,支払手数料,,,,課税仕入 10%,,26000,2363,,,,,,,0,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
289,2025/07/15,販売促進費,,,,課税仕入 10%,,7900,718,,,,,,,0,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
291,2025/07/15,普通預金,三井住友BK,,,対象外,,489000,0,売掛金,,,,対象外,,489000,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
291,2025/07/15,支払手数料,,,,課税仕入 10%,,35100,3190,,,,,,,0,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
291,2025/07/15,広告宣伝費,,,,課税仕入 10%,,10600,963,,,,,,,0,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
295,2025/07/15,売掛金,,,,対象外,,471800,0,売上高,,,,課税売上 10%,,547900,49809,ﾗｸﾃﾝ(ｶ 売上,,,振替伝票,No
296,2025/07/15,売掛金,,,,対象外,,523300,0,売上高,,,,課税売上 10%,,1110400,100945,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 売上,,,振替伝票,No
364,2025/07/15,旅費交通費,,,,課税仕入 10%,,800,72,現金,,,,対象外,,800,0,タイムズ ﾃｽﾄ駅前,,,簡単入力,No
304,2025/07/16,仕入高,,,,課税仕入 10%,,98100,8918,未払金,ｱﾒﾘｶﾝEX,,,対象外,,98100,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
300,2025/07/18,仕入高,,,,課税仕入 10%,,87200,7927,未払金,ｱﾒﾘｶﾝEX,,,対象外,,87200,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
367,2025/07/18,荷造運賃,,,,課税仕入 10%,,900,81,現金,,,,対象外,,900,0,日本郵便 ゆうパック,,,簡単入力,No
375,2025/07/18,現金,,,,対象外,,62200,0,普通預金,三井住友BK,,,対象外,,151600,0,ATM 引出し,,,振替伝票,No
307,2025/07/19,仕入高,,,,課税仕入 10%,,49700,4518,未払金,VISA,,,対象外,,49700,0,ﾒﾙｶﾘ 商品仕入,,,簡単入力,No
309,2025/07/19,仕入高,,,,課税仕入 10%,,70500,6409,未払金,VISA,,,対象外,,70500,0,ﾒﾙｶﾘ 商品仕入,,,簡単入力,No
330,2025/07/19,荷造運賃,,,,課税仕入 10%,,3200,290,現金,,,,対象外,,3200,0,佐川急便 着払い,,,簡単入力,No
332,2025/07/20,広告宣伝費,,,,課税仕入 10%,,68300,6209,未払金,VISA,,,対象外,,68300,0,ﾗｸﾃﾝ ｺｳｺｸ,,,簡単入力,No
373,2025/07/20,現金,,,,対象外,,199900,0,普通預金,三井住友BK,,,対象外,,103600,0,ATM 引出し,,,振替伝票,No
379,2025/07/21,役員借入金,,,,対象外,,255900,0,普通預金,三井住友BK,,,対象外,,141600,0,役員借入金 返済 ﾃｽﾄﾀﾛｳ,,,振替伝票,No
310,2025/07/22,仕入高,,,,課税仕入 10%,,53200,4836,未払金,VISA,,,対象外,,53200,0,ﾒﾙｶﾘ 商品仕入,,,簡単入力,No
342,2025/07/22,旅費交通費,,,,課税仕入 10%,,4900,445,現金,,,,対象外,,4900,0,国際交通 ﾀｸｼｰ,,,簡単入力,No
357,2025/07/22,会議費,,,,課税仕入 10%,,500,45,現金,,,,対象外,,500,0,ファミリーマート ﾃｽﾄ駅前店,,,簡単入力,No
321,2025/07/23,荷造運賃,,,,課税仕入 10%,,8500,772,未払金,ｱﾒﾘｶﾝEX,,,対象外,,8500,0,ﾔﾏﾄｳﾝﾕ ﾊｯｿｳ,,,簡単入力,No
333,2025/07/23,広告宣伝費,,,,課税仕入 10%,,34100,3100,未払金,ｱﾒﾘｶﾝEX,,,対象外,,34100,0,GOOGLE ADS,,,簡単入力,No
323,2025/07/24,荷造運賃,,,,課税仕入 10%,,8000,727,未払金,ｱﾒﾘｶﾝEX,,,対象外,,8000,0,ﾔﾏﾄｳﾝﾕ ﾊｯｿｳ,,,簡単入力,No
287,2025/07/25,給料手当,,,,対象外,,280000,0,普通預金,三井住友BK,,,対象外,,205000,0,給料 ﾔﾏﾀﾞﾊﾅｺ,,,振替伝票,No
287,2025/07/25,,,,,,,,0,預り金,源泉所得税,,,対象外,,45000,0,給料 ﾔﾏﾀﾞﾊﾅｺ,,,振替伝票,No
287,2025/07/25,,,,,,,,0,預り金,住民税,,,対象外,,30000,0,給料 ﾔﾏﾀﾞﾊﾅｺ,,,振替伝票,No
288,2025/07/25,給料手当,,,,対象外,,250000,0,普通預金,三井住友BK,,,対象外,,175000,0,給料 ｻﾄｳｲﾁﾛｳ,,,振替伝票,No
288,2025/07/25,,,,,,,,0,預り金,源泉所得税,,,対象外,,45000,0,給料 ｻﾄｳｲﾁﾛｳ,,,振替伝票,No
288,2025/07/25,,,,,,,,0,預り金,住民税,,,対象外,,30000,0,給料 ｻﾄｳｲﾁﾛｳ,,,振替伝票,No
294,2025/07/25,役員報酬,,,,対象外,,500000,0,普通預金,三井住友BK,,,対象外,,500000,0,役員報酬 ﾃｽﾄﾀﾛｳ,,,振替伝票,No
317,2025/07/25,水道光熱費,,,,課税仕入 10%,,21500,1954,普通預金,三井住友BK,,,対象外,,21500,0,ｶﾝｻｲﾃﾞﾝﾘﾖｸ,,,振替伝票,No
336,2025/07/25,消耗品費,,,,課税仕入 10%,,500,45,現金,,,,対象外,,500,0,コクヨ 事務用品,,,簡単入力,No
337,2025/07/25,消耗品費,,,,課税仕入 10%,,3100,281,現金,,,,対象外,,3100,0,コクヨ 事務用品,,,簡単入力,No
338,2025/07/25,消耗品費,,,,課税仕入 10%,,4400,400,未払金,VISA,,,対象外,,4400,0,ｱｽｸﾙ,,,簡単入力,No
341,2025/07/25,旅費交通費,,,,課税仕入 10%,,2800,254,現金,,,,対象外,,2800,0,JR西日本 交通費,,,簡単入力,No
340,2025/07/26,旅費交通費,,,,課税仕入 10%,,2900,263,現金,,,,対象外,,2900,0,JR西日本 交通費,,,簡単入力,No
354,2025/07/26,消耗品費,,,,課税仕入 10%,,1800,163,未払金,VISA,,,対象外,,1800,0,ｾﾌﾞﾝ-ｲﾚﾌﾞﾝ ﾃｽﾄﾃﾝ,,,簡単入力,No
359,2025/07/26,荷造運賃,,,,課税仕入 10%,,1400,127,現金,,,,対象外,,1400,0,ローソン 宅配便,,,簡単入力,No
360,2025/07/26,荷造運賃,,,,課税仕入 10%,,1000,90,現金,,,,対象外,,1000,0,ローソン 宅配便,,,簡単入力,No
368,2025/07/26,会議費,,,,課税仕入 10%,,600,54,現金,,,,対象外,,600,0,ドトール ﾃｽﾄ駅前店,,,簡単入力,No
316,2025/07/27,地代家賃,,,,非課税仕入,,150000,0,普通預金,三井住友BK,,,対象外,,150000,0,ﾌﾘｺﾐ ﾃｽﾄﾌﾄﾞｳｻﾝ 家賃,,,振替伝票,No
318,2025/07/27,水道光熱費,,,,課税仕入 10%,,6800,618,普通預金,三井住友BK,,,対象外,,6800,0,ｵｵｻｶｶﾞｽ,,,振替伝票,No
363,2025/07/27,旅費交通費,,,,課税仕入 10%,,600,54,現金,,,,対象外,,600,0,タイムズ ﾃｽﾄ駅前,,,簡単入力,No
369,2025/07/27,会議費,,,,課税仕入 10%,,800,72,現金,,,,対象外,,800,0,ドトール ﾃｽﾄ駅前店,,,簡単入力,No
371,2025/07/27,未払金,ｱﾒﾘｶﾝEX,,,対象外,,497000,0,普通預金,三井住友BK,,,対象外,,349000,0,ｱﾒﾘｶﾝEX ｶｰﾄﾞ引落し,,,振替伝票,No
372,2025/07/27,未払金,VISA,,,対象外,,207300,0,普通預金,三井住友BK,,,対象外,,192400,0,VISAﾋｷｵﾄｼ,,,振替伝票,No
378,2025/07/27,普通預金,三井住友BK,,,対象外,,635600,0,役員借入金,,,,対象外,,952500,0,ﾃｽﾄ ﾀﾛｳ 役員借入,,,振替伝票,No
290,2025/07/28,普通預金,三井住友BK,,,対象外,,443000,0,売掛金,,,,対象外,,443000,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
290,2025/07/28,支払手数料,,,,課税仕入 10%,,34100,3100,,,,,,,0,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
290,2025/07/28,販売促進費,,,,課税仕入 10%,,5500,500,,,,,,,0,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
292,2025/07/28,普通預金,三井住友BK,,,対象外,,906500,0,売掛金,,,,対象外,,906500,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
292,2025/07/28,支払手数料,,,,課税仕入 10%,,33200,3018,,,,,,,0,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
292,2025/07/28,広告宣伝費,,,,課税仕入 10%,,22600,2054,,,,,,,0,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
293,2025/07/28,未払費用,,,,対象外,,180000,0,普通預金,三井住友BK,,,対象外,,360000,0,ｹﾝﾎﾟｷﾖｳｶｲ 社保,,,振替伝票,No
293,2025/07/28,預り金,社会保険,,,対象外,,180000,0,,,,,,,0,0,ｹﾝﾎﾟｷﾖｳｶｲ 社保,,,振替伝票,No
297,2025/07/28,売掛金,,,,対象外,,500100,0,売上高,,,,課税売上 10%,,787100,71554,ﾗｸﾃﾝ(ｶ 売上,,,振替伝票,No
298,2025/07/28,売掛金,,,,対象外,,597200,0,売上高,,,,課税売上 10%,,896000,81454,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 売上,,,振替伝票,No
431,2025/08/01,旅費交通費,,,,課税仕入 10%,,2200,200,現金,,,,対象外,,2200,0,JR西日本 交通費,,,簡単入力,No
440,2025/08/01,支払手数料,,,,課税仕入 10%,,300,27,普通預金,三井住友BK,,,対象外,,300,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
444,2025/08/01,車両費,,,,課税仕入 10%,,5600,509,未払金,ｱﾒﾘｶﾝEX,,,対象外,,5600,0,ENEOS ﾃｽﾄSS,,,簡単入力,No
407,2025/08/02,仕入高,,,,課税仕入 10%,,26500,2409,未払金,ｱﾒﾘｶﾝEX,,,対象外,,26500,0,ヤマダデンキ ﾃﾗｵﾃﾝ,,,簡単入力,No
414,2025/08/02,通信費,,,,課税仕入 10%,,19600,1781,未払金,VISA,,,対象外,,19600,0,NTTﾄﾞｺﾓ,,,簡単入力,No
416,2025/08/02,荷造運賃,,,,課税仕入 10%,,11100,1009,未払金,ｱﾒﾘｶﾝEX,,,対象外,,11100,0,ﾔﾏﾄｳﾝﾕ ﾊｯｿｳ,,,簡単入力,No
392,2025/08/03,仕入高,,,,課税仕入 10%,,94600,8600,未払金,ｱﾒﾘｶﾝEX,,,対象外,,94600,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
413,2025/08/03,水道光熱費,,,,課税仕入 10%,,7100,645,普通預金,三井住友BK,,,対象外,,7100,0,ｵｵｻｶｶﾞｽ,,,振替伝票,No
423,2025/08/03,広告宣伝費,,,,課税仕入 10%,,53100,4827,未払金,VISA,,,対象外,,53100,0,ﾗｸﾃﾝ ｺｳｺｸ,,,簡単入力,No
436,2025/08/03,支払手数料,,,,課税仕入 10%,,200,18,普通預金,三井住友BK,,,対象外,,200,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
408,2025/08/04,仕入高,,,,課税仕入 10%,,299800,27254,普通預金,三井住友BK,,,対象外,,299800,0,ﾌﾘｺﾐ ﾔﾏﾀﾞﾃﾞﾝｷ,,,振替伝票,No
454,2025/08/04,荷造運賃,,,,課税仕入 10%,,100,9,現金,,,,対象外,,100,0,ダイソー ﾃｽﾄ店 梱包資材,,,簡単入力,No
395,2025/08/05,仕入高,,,,課税仕入 10%,,109700,9972,未払金,ｱﾒﾘｶﾝEX,,,対象外,,109700,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
396,2025/08/05,仕入高,,,,課税仕入 10%,,31100,2827,未払金,ｱﾒﾘｶﾝEX,,,対象外,,31100,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
426,2025/08/06,会議費,,,,課税仕入 10%,,3000,272,現金,,,,対象外,,3000,0,STARBUCKS #12345,,,簡単入力,No
449,2025/08/06,会議費,,,,課税仕入 10%,,400,36,現金,,,,対象外,,400,0,ファミリーマート ﾃｽﾄ駅前店,,,簡単入力,No
446,2025/08/07,消耗品費,,,,課税仕入 10%,,900,81,未払金,VISA,,,対象外,,900,0,ｾﾌﾞﾝ-ｲﾚﾌﾞﾝ ﾃｽﾄﾃﾝ,,,簡単入力,No
458,2025/08/07,旅費交通費,,,,課税仕入 10%,,700,63,現金,,,,対象外,,700,0,タイムズ ﾃｽﾄ駅前,,,簡単入力,No
397,2025/08/08,仕入高,,,,課税仕入 10%,,84100,7645,未払金,ｱﾒﾘｶﾝEX,,,対象外,,84100,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
399,2025/08/08,仕入高,,,,課税仕入 10%,,115800,10527,未払金,ｱﾒﾘｶﾝEX,,,対象外,,115800,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
406,2025/08/08,仕入高,,,,課税仕入 10%,,177900,16172,未払金,ｱﾒﾘｶﾝEX,,,対象外,,177900,0,ヤマダデンキ ﾃﾗｵﾃﾝ,,,簡単入力,No
447,2025/08/08,消耗品費,,,,課税仕入 10%,,500,45,未払金,VISA,,,対象外,,500,0,ｾﾌﾞﾝ-ｲﾚﾌﾞﾝ ﾃｽﾄﾃﾝ,,,簡単入力,No
441,2025/08/09,支払手数料,,,,課税仕入 10%,,400,36,普通預金,三井住友BK,,,対象外,,400,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
450,2025/08/09,会議費,,,,課税仕入 10%,,700,63,現金,,,,対象外,,700,0,ファミリーマート ﾃｽﾄ駅前店,,,簡単入力,No
452,2025/08/09,荷造運賃,,,,課税仕入 10%,,1000,90,現金,,,,対象外,,1000,0,ローソン 宅配便,,,簡単入力,No
457,2025/08/10,旅費交通費,,,,課税仕入 10%,,800,72,現金,,,,対象外,,800,0,タイムズ ﾃｽﾄ駅前,,,簡単入力,No
472,2025/08/10,預り金,源泉所得税,,,対象外,,45000,0,普通預金,日本信金,,,対象外,,45000,0,ｾﾞｲﾑｼﾖ ｹﾞﾝｾﾝ 納付,,,振替伝票,No
473,2025/08/10,預り金,住民税,,,対象外,,30000,0,普通預金,日本信金,,,対象外,,30000,0,ｼﾞﾕｳﾐﾝｾﾞｲ 納付,,,振替伝票,No
419,2025/08/11,荷造運賃,,,,課税仕入 10%,,3600,327,未払金,ｱﾒﾘｶﾝEX,,,対象外,,3600,0,ﾔﾏﾄｳﾝﾕ ﾊｯｿｳ,,,簡単入力,No
453,2025/08/11,荷造運賃,,,,課税仕入 10%,,1200,109,現金,,,,対象外,,1200,0,ローソン 宅配便,,,簡単入力,No
403,2025/08/12,仕入高,,,,課税仕入 10%,,37900,3445,未払金,VISA,,,対象外,,37900,0,ﾒﾙｶﾘ 商品仕入,,,簡単入力,No
429,2025/08/12,旅費交通費,,,,課税仕入 10%,,500,45,現金,,,,対象外,,500,0,JR西日本 交通費,,,簡単入力,No
445,2025/08/12,車両費,,,,課税仕入 10%,,5200,472,未払金,VISA,,,対象外,,5200,0,ｲﾃﾞﾐﾂ ﾃｽﾄSS,,,簡単入力,No
448,2025/08/12,会議費,,,,課税仕入 10%,,500,45,現金,,,,対象外,,500,0,ファミリーマート ﾃｽﾄ駅前店,,,簡単入力,No
459,2025/08/12,通信費,,,,課税仕入 10%,,400,36,現金,,,,対象外,,400,0,日本郵便 ﾃｽﾄ郵便局 切手,,,簡単入力,No
463,2025/08/12,会議費,,,,課税仕入 10%,,1400,127,現金,,,,対象外,,1400,0,ドトール ﾃｽﾄ駅前店,,,簡単入力,No
442,2025/08/13,新聞図書費,,,,課税仕入 10%,,4100,372,未払金,ｱﾒﾘｶﾝEX,,,対象外,,4100,0,AMAZON.CO.JP 書籍,,,簡単入力,No
409,2025/08/14,仕入高,,,,課税仕入 10%,,409600,37236,普通預金,三井住友BK,,,対象外,,409600,0,ﾌﾘｺﾐ ﾔﾏﾀﾞﾃﾞﾝｷ,,,振替伝票,No
382,2025/08/15,普通預金,三井住友BK,,,対象外,,692800,0,売掛金,,,,対象外,,692800,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
382,2025/08/15,支払手数料,,,,課税仕入 10%,,27000,2454,,,,,,,0,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
382,2025/08/15,販売促進費,,,,課税仕入 10%,,13800,1254,,,,,,,0,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
384,2025/08/15,普通預金,三井住友BK,,,対象外,,670100,0,売掛金,,,,対象外,,670100,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
